,carat,cut,cut_ord,color,clarity,clarity_ord
1,1.22,Premium,4,G,SI1,3
2,1.01,Good,2,G,VS2,5
3,0.71,Very Good,3,I,VS2,5
4,1.01,Ideal,5,D,SI2,2
5,0.27,Ideal,5,H,VVS2,6
6,0.52,Premium,4,G,VS1,4
7,1.01,Premium,4,F,SI1,3
8,0.59,Ideal,5,D,SI1,3
9,1.01,Good,2,E,SI1,3
10,2.03,Ideal,5,F,SI2,2
11,1.35,Premium,4,H,VS2,5
12,0.74,Ideal,5,G,SI1,3
13,0.9,Premium,4,D,SI1,3
14,0.3,Good,2,G,VS2,5
15,1.01,Good,2,F,VS2,5
16,1.02,Good,2,H,SI2,2
17,2.05,Premium,4,G,SI1,3
18,0.54,Ideal,5,I,SI1,3
19,0.72,Ideal,5,G,VS2,5
20,2,Premium,4,J,SI2,2
21,1.57,Premium,4,G,SI2,2
22,0.89,Premium,4,G,SI1,3
23,0.33,Premium,4,I,VVS2,6
24,0.3,Very Good,3,G,IF,8
25,1.79,Very Good,3,I,VS2,5
26,1.11,Ideal,5,E,SI2,2
27,0.79,Premium,4,F,SI1,3
28,0.71,Very Good,3,F,SI1,3
29,0.73,Ideal,5,G,SI1,3
30,0.9,Very Good,3,G,VS2,5
31,1.31,Good,2,I,VS1,4
32,1.01,Ideal,5,F,SI2,2
33,0.35,Premium,4,D,SI1,3
34,0.41,Premium,4,G,VS2,5
35,0.32,Premium,4,E,VS2,5
36,0.38,Ideal,5,D,VS1,4
37,1.21,Premium,4,I,SI2,2
38,1,Premium,4,F,SI1,3
39,0.56,Ideal,5,H,VS2,5
40,1,Good,2,J,SI1,3
41,0.32,Premium,4,H,VVS1,7
42,1.7,Ideal,5,D,SI1,3
43,2.26,Very Good,3,D,SI2,2
44,0.32,Premium,4,D,VS2,5
45,0.4,Very Good,3,F,VVS1,7
46,2.13,Very Good,3,G,SI2,2
47,0.7,Premium,4,G,VS2,5
48,2.01,Premium,4,H,SI1,3
49,1.15,Premium,4,G,SI1,3
50,0.71,Ideal,5,E,VS1,4
51,1.35,Premium,4,G,VVS2,6
52,0.51,Ideal,5,F,SI1,3
53,0.34,Ideal,5,D,IF,8
54,1.58,Ideal,5,G,VS1,4
55,2.05,Good,2,G,SI2,2
56,0.41,Ideal,5,H,VS1,4
57,0.6,Fair,1,F,SI1,3
58,0.31,Ideal,5,H,IF,8
59,0.64,Very Good,3,D,SI1,3
60,0.71,Premium,4,J,SI1,3
61,0.55,Ideal,5,F,VS2,5
62,1.26,Very Good,3,G,VVS2,6
63,1.03,Premium,4,G,VS1,4
64,1.01,Premium,4,H,SI2,2
65,0.25,Very Good,3,E,VVS2,6
66,0.9,Premium,4,H,SI1,3
67,0.45,Premium,4,D,VS1,4
68,0.3,Ideal,5,F,IF,8
69,0.9,Good,2,D,SI2,2
70,0.8,Very Good,3,F,VS2,5
71,0.33,Premium,4,G,VS1,4
72,0.71,Ideal,5,G,SI1,3
73,0.7,Premium,4,D,SI1,3
74,0.78,Ideal,5,H,SI2,2
75,0.7,Very Good,3,F,SI2,2
76,0.38,Ideal,5,F,VVS2,6
77,0.54,Premium,4,J,VS2,5
78,0.25,Good,2,E,VVS2,6
79,2.5,Good,2,J,VS2,5
80,0.72,Good,2,D,VS1,4
81,0.41,Ideal,5,E,VS2,5
82,2.03,Ideal,5,G,SI2,2
83,1.24,Premium,4,D,SI1,3
84,0.92,Premium,4,G,SI2,2
85,1,Fair,1,E,SI2,2
86,0.57,Ideal,5,F,VS1,4
87,0.54,Ideal,5,D,SI1,3
88,1.08,Premium,4,H,SI2,2
89,0.54,Very Good,3,H,VVS1,7
90,0.63,Very Good,3,F,VS2,5
91,1.58,Premium,4,D,SI1,3
92,0.3,Very Good,3,D,VS2,5
93,1.56,Ideal,5,G,VVS2,6
94,0.26,Very Good,3,F,VVS2,6
95,0.57,Ideal,5,E,VS2,5
96,0.39,Ideal,5,F,IF,8
97,1.13,Very Good,3,G,SI2,2
98,1.09,Ideal,5,H,SI1,3
99,1.52,Ideal,5,E,SI2,2
100,1.01,Very Good,3,E,VS1,4
101,1.21,Premium,4,H,SI2,2
102,0.5,Ideal,5,H,SI1,3
103,1.33,Premium,4,E,SI2,2
104,0.52,Very Good,3,D,VS2,5
105,0.33,Ideal,5,H,SI2,2
106,1.06,Premium,4,G,SI2,2
107,0.9,Premium,4,F,SI2,2
108,0.92,Ideal,5,H,VS1,4
109,1.54,Premium,4,D,VS2,5
110,1,Premium,4,E,SI2,2
111,1.2,Ideal,5,G,VS1,4
112,1,Ideal,5,E,SI1,3
113,0.33,Very Good,3,E,SI1,3
114,0.38,Ideal,5,E,IF,8
115,0.55,Ideal,5,H,VVS2,6
116,0.31,Premium,4,J,VS2,5
117,1.13,Ideal,5,D,VS1,4
118,0.33,Premium,4,D,SI1,3
119,1.03,Premium,4,E,VS2,5
120,0.53,Very Good,3,F,SI1,3
121,1,Good,2,F,I1,1
122,0.8,Very Good,3,F,VS1,4
123,1.25,Good,2,I,SI2,2
124,0.5,Very Good,3,E,SI1,3
125,0.56,Ideal,5,D,VS2,5
126,0.46,Ideal,5,J,VS2,5
127,2.1,Premium,4,H,SI2,2
128,0.77,Ideal,5,D,SI1,3
129,0.53,Premium,4,H,VS2,5
130,0.75,Very Good,3,F,VS1,4
131,0.41,Premium,4,F,VVS2,6
132,0.41,Ideal,5,G,VVS1,7
133,0.51,Ideal,5,D,VS2,5
134,0.34,Premium,4,G,VS2,5
135,0.51,Ideal,5,E,SI2,2
136,0.3,Premium,4,H,SI1,3
137,1.5,Good,2,G,SI2,2
138,1.01,Very Good,3,F,SI2,2
139,1.1,Ideal,5,G,VS1,4
140,0.5,Good,2,D,SI1,3
141,1,Good,2,E,VVS2,6
142,1.22,Ideal,5,J,VS1,4
143,1.51,Ideal,5,H,SI2,2
144,0.31,Ideal,5,E,VVS1,7
145,0.95,Premium,4,E,SI2,2
146,1.06,Very Good,3,I,SI2,2
147,1.39,Premium,4,E,VS2,5
148,1.01,Very Good,3,H,VS2,5
149,0.72,Premium,4,D,SI1,3
150,0.51,Premium,4,D,VS1,4
151,1.5,Very Good,3,D,SI2,2
152,0.7,Premium,4,G,VVS1,7
153,1.01,Premium,4,H,SI2,2
154,0.3,Ideal,5,I,SI1,3
155,1.29,Premium,4,F,SI1,3
156,1.01,Very Good,3,F,VS2,5
157,0.33,Ideal,5,I,VS2,5
158,1.53,Premium,4,H,SI2,2
159,0.85,Premium,4,D,SI2,2
160,0.33,Ideal,5,G,VS2,5
161,0.6,Ideal,5,D,VVS1,7
162,0.63,Premium,4,I,VS1,4
163,1.04,Premium,4,G,SI2,2
164,2.01,Very Good,3,H,SI2,2
165,0.71,Premium,4,E,SI1,3
166,0.3,Very Good,3,G,VVS2,6
167,1.74,Ideal,5,J,VS1,4
168,1.06,Ideal,5,E,SI1,3
169,0.7,Fair,1,G,SI1,3
170,1.52,Very Good,3,G,VS2,5
171,0.41,Ideal,5,F,VS2,5
172,1.22,Ideal,5,G,VS1,4
173,0.37,Premium,4,E,SI1,3
174,0.3,Premium,4,H,SI1,3
175,0.54,Premium,4,E,SI1,3
176,0.37,Ideal,5,E,VS2,5
177,1.5,Premium,4,E,VVS2,6
178,0.62,Very Good,3,G,VS2,5
179,1.33,Premium,4,H,SI2,2
180,1.51,Very Good,3,J,SI2,2
181,0.31,Ideal,5,H,VVS1,7
182,0.38,Ideal,5,G,SI2,2
183,0.31,Ideal,5,I,VS1,4
184,0.34,Premium,4,G,VVS2,6
185,0.75,Good,2,E,SI2,2
186,0.28,Very Good,3,F,VVS2,6
187,1.23,Very Good,3,G,SI2,2
188,0.75,Good,2,E,SI1,3
189,1.11,Ideal,5,H,VVS2,6
190,2.07,Very Good,3,I,SI1,3
191,1,Premium,4,D,SI1,3
192,0.79,Ideal,5,F,SI1,3
193,0.31,Ideal,5,G,VS1,4
194,0.31,Premium,4,I,VVS1,7
195,1,Ideal,5,H,SI1,3
196,0.41,Premium,4,G,VS1,4
197,0.51,Premium,4,E,SI1,3
198,1.91,Very Good,3,F,SI1,3
199,1.19,Very Good,3,E,VS2,5
200,0.32,Premium,4,F,VVS1,7
201,0.55,Ideal,5,F,SI2,2
202,0.32,Ideal,5,F,IF,8
203,1.09,Ideal,5,G,SI2,2
204,0.9,Very Good,3,I,VVS1,7
205,0.74,Ideal,5,E,VS2,5
206,0.9,Very Good,3,G,VS2,5
207,0.76,Ideal,5,D,VS1,4
208,0.73,Ideal,5,D,SI2,2
209,0.52,Good,2,G,SI1,3
210,0.73,Premium,4,E,SI1,3
211,0.76,Premium,4,I,VS2,5
212,0.48,Good,2,F,VS1,4
213,1.5,Fair,1,D,SI1,3
214,0.37,Very Good,3,F,SI1,3
215,0.43,Premium,4,E,VS2,5
216,0.58,Ideal,5,E,VVS2,6
