City|County,2014 Estimate,2010 Census,2000 Census
Afton|Lincoln,"<td>1,968</td>","<td>1,911</td>","<td>1,818</td>"
Albin|Laramie,<td>185</td>,<td>181</td>,<td>120</td>
Alpine|Lincoln,<td>845</td>,<td>828</td>,<td>550</td>
Baggs|Carbon,<td>439</td>,<td>440</td>,<td>348</td>
Bairoil|Sweetwater,<td>107</td>,<td>106</td>,<td>97</td>
Bar Nunn|Natrona,"<td>2,735</td>","<td>2,213</td>",<td>936</td>
Basin ?|Big Horn,"<td>1,312</td>","<td>1,285<sup id=""cite_ref-4"" class=""reference""><a href=""#cite_note-4"">[4]</a></sup></td>","<td>1,238</td>"
Bear River|Uinta,<td>521</td>,<td>518</td>,<td>-</td>
Big Piney|Sublette,<td>538</td>,<td>552</td>,<td>408</td>
Buffalo ?|Johnson,"<td>4,615</td>","<td>4,585</td>","<td>3,900</td>"
Burlington|Big Horn,<td>332</td>,<td>288</td>,<td>250</td>
Burns|Laramie,<td>305</td>,<td>301</td>,<td>285</td>
Byron|Big Horn,<td>609</td>,<td>593</td>,<td>557</td>
Casper ?|Natrona,"<td>40,086</td>","<td>35,316</td>","<td>32,644</td>"
Cheyenne ??|Laramie,"<td>62,845</td>","<td>59,466</td>","<td>53,011</td>"
Chugwater|Platte,<td>216</td>,<td>212</td>,<td>244</td>
Clearmont|Sheridan,<td>142</td>,<td>142</td>,<td>115</td>
Cody ?|Park,"<td>9,740</td>","<td>9,520</td>","<td>8,835</td>"
Cokeville|Lincoln,<td>542</td>,<td>535</td>,<td>506</td>
Cowley|Big Horn,<td>718</td>,<td>655</td>,<td>560</td>
Dayton|Sheridan,<td>794</td>,<td>757</td>,<td>678</td>
Deaver|Big Horn,<td>184</td>,<td>178</td>,<td>177</td>
Diamondville|Lincoln,<td>740</td>,<td>737</td>,<td>716</td>
Dixon|Carbon,<td>97</td>,<td>97</td>,<td>79</td>
Douglas ?|Converse,"<td>6,423</td>","<td>6,120</td>","<td>5,288</td>"
Dubois|Fremont,<td>998</td>,<td>971</td>,<td>962</td>
East Thermopolis|Hot Springs,<td>252</td>,<td>254</td>,<td>274</td>
Edgerton|Natrona,<td>199</td>,<td>195</td>,<td>169</td>
Elk Mountain|Carbon,<td>196</td>,<td>191</td>,<td>192</td>
Evanston ?|Uinta,"<td>12,190</td>","<td>12,359</td>","<td>11,507</td>"
Evansville|Natrona,"<td>2,831</td>","<td>2,544</td>","<td>2,255</td>"
Fort Laramie|Goshen,<td>227</td>,<td>230</td>,<td>243</td>
Frannie|Park,<td>162</td>,<td>157</td>,<td>209</td>
Gillette ?|Campbell,"<td>31,971</td>","<td>29,087</td>","<td>19,646</td>"
Glendo|Platte,<td>201</td>,<td>205</td>,<td>229</td>
