City,County,Land Area,Households with Under 18,Population Density,Total Families
Laramie,Albany,2513.745235,2075,5.19,4668.93
Rock River,Albany,200.444,165,0.41,372.3
Basin,Big Horn,543.9513043,250,0.66,566.43
Burlington,Big Horn,137.6462142,63,0.17,143.34
Byron,Big Horn,252.4895917,116,0.31,262.93
Cowley,Big Horn,297.6806681,137,0.36,309.98
Deaver,Big Horn,76.28585366,35,0.09,79.44
Greybull,Big Horn,691.22612,318,0.84,719.8
Lovell,Big Horn,809.453936,372,0.98,842.91
Manderson,Big Horn,48.5078526,22,0.06,50.51
Gillette,Campbell,2748.8529,4052,5.8,7189.43
Wright,Campbell,262.0087853,386,0.55,685.27
Baggs,Carbon,253.2403224,62,0.06,129.53
Dixon,Carbon,55.95515096,14,0.01,28.62
Elk Mountain,Carbon,113.0640164,28,0.03,57.83
Grand Encampment,Carbon,255.5477513,63,0.06,130.71
Hanna,Carbon,479.3683551,118,0.12,245.19
Medicine Bow,Carbon,159.7894517,39,0.04,81.73
Rawlins,Carbon,5322.661628,1307,1.32,2722.43
Riverside,Carbon,30.573433,8,0.01,15.64
Saratoga,Carbon,976.0424271,240,0.24,499.23
Sinclair,Carbon,244.587464,60,0.06,125.1
Douglas,Converse,1829.4651,832,1.46,1744.08
Glenrock,Converse,838.818,381,0.67,799.67
Lost Springs,Converse,89.244,41,0.07,85.08
Rolling Hills,Converse,197.6670791,90,0.16,188.44
Hulett,Crook,359.8361172,106,0.32,255.03
Moorcroft,Crook,931.9755436,273,0.82,660.52
Pine Haven,Crook,447.995966,131,0.39,317.51
Sundance,Crook,1114.592373,327,0.98,789.95
Dubois,Fremont,437.0735045,244,0.21,506.29
Hudson,Fremont,202.3326243,113,0.1,234.37
Lander,Fremont,3346.80934,1870,1.63,3876.81
Pavillion,Fremont,105.1078568,59,0.05,121.75
Riverton,Fremont,4796.859815,2680,2.34,5556.49
Shoshoni,Fremont,286.8568592,160,0.14,332.28
Fort Laramie,Goshen,62.78386652,41,0.17,100.01
La Grange,Goshen,125.8443139,81,0.35,200.47
Lingle,Goshen,129.1632849,84,0.35,205.76
Torrington,Goshen,1599.818493,1034,4.39,2548.5
Yoder,Goshen,44.52952647,29,0.12,70.94
East Thermopolis,Hot Springs,150.0841605,38,0.18,101.85
Kirby,Hot Springs,55.38820208,14,0.07,37.59
Thermopolis,Hot Springs,919.68149,233,1.1,624.1
Buffalo,Johnson,3115.5075,746,1.55,1819.5
Kaycee,Johnson,221.5472,53,0.11,129.39
Albin,Laramie,7.685902049,37,0.1,74.87
Burns,Laramie,12.67135203,60,0.17,123.43
Cheyenne,Laramie,1500.1784,7158,20.34,14612.64
Pine Bluffs,Laramie,47.61104729,227,0.65,463.76
Afton,Lincoln,853.8066496,497,0.93,1040.41
Alpine,Lincoln,366.5988917,213,0.4,446.72
Cokeville,Lincoln,235.1439045,137,0.26,286.54
Diamondville,Lincoln,321.0451833,187,0.35,391.21
Kemmerer,Lincoln,1185.264109,690,1.29,1444.32
La Barge,Lincoln,239.9161978,140,0.26,292.35
Opal,Lincoln,42.95063939,25,0.05,52.34
Star Valley Ranch,Lincoln,668.554902,389,0.73,814.67
Thayne,Lincoln,157.9195226,92,0.17,192.43
Bar Nunn,Natrona,208.5732199,417,0.6,843.88
Casper,Natrona,3894.3091,7788,11.16,8756.32
Edgerton,Natrona,15.17589424,30,0.04,61.4
Evansville,Natrona,215.8942543,432,0.62,873.51
Midwest,Natrona,31.41943934,63,0.09,127.12
Mills,Natrona,281.4022601,563,0.81,1138.55
Lusk,Niobrara,2211.10042,205,0.79,548.14
Manville,Niobrara,144.8510854,13,0.05,35.91
Van Tassell,Niobrara,23.36307829,2,0.01,5.79
Cody,Park,2998.95696,1403,1.82,3515.62
Frannie,Park,67.60091729,32,0.04,79.25
Meeteetse,Park,136.4537034,64,0.08,159.96
Powell,Park,2673.57455,1251,1.62,3134.18
Chugwater,Platte,84.44664041,39,0.17,103.56
Glendo,Platte,78.58229038,36,0.16,96.37
Guernsey,Platte,466.4113056,216,0.93,572
Hartville,Platte,24.23931345,11,0.05,29.73
Wheatland,Platte,1430.51045,662,2.86,1754.34
Clearmont,Sheridan,18.04795251,25,0.09,57.55
Dayton,Sheridan,100.9160162,141,0.48,321.81
Ranchester,Sheridan,119.8536565,167,0.57,382.2
Sheridan,Sheridan,1893.977048,2646,8.98,6039.71
Big Piney,Sublette,710.4893573,186,0.31,384.8
Marbleton,Sublette,1210.92214,316,0.53,655.83
Pinedale,Sublette,2585.758665,676,1.12,1400.43
Bairoil,Sweetwater,29.4598297,18,0.01,33.7
Granger,Sweetwater,38.27024605,23,0.02,43.77
Green River,Sweetwater,3477.361206,2113,1.46,3977.4
Rock Springs,Sweetwater,6620.201916,4022,2.78,7572.18
Superior,Sweetwater,91.40806971,56,0.04,104.55
Wamsutter,Sweetwater,138.4887321,84,0.06,158.4
Jackson,Teton,1757.6592,1078,2.36,2313.08
Bear River,Uinta,66.04092655,98,0.33,179.24
Evanston,Uinta,999.4971,1486,4.95,2712.64
Lyman,Uinta,263.2764001,391,1.3,714.53
Mountain View,Uinta,165.2924534,246,0.82,448.6
Ten Sleep,Washakie,100.7925165,46,0.17,106.26
Worland,Washakie,1294.105755,595,2.18,1364.32
Newcastle,Weston,1193.129216,386,1.47,957.04
Upton,Weston,572.6548668,185,0.71,459.34
