index,OrderId,CustomerID,EmployeeID,OrderDate,ShippedDate,RequiredDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
0,10248,VINET,5,2014-07-04,2014-07-16,2014-08-01,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
1,10249,TOMSP,6,2014-07-05,2014-07-10,2014-08-16,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany
2,10250,HANAR,4,2014-07-08,2014-07-12,2014-08-05,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil
3,10251,VICTE,3,2014-07-08,2014-07-15,2014-08-05,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France
4,10252,SUPRD,4,2014-07-09,2014-07-11,2014-08-06,2,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium
5,10253,HANAR,3,2014-07-10,2014-07-16,2014-07-24,2,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil
6,10254,CHOPS,5,2014-07-11,2014-07-23,2014-08-08,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland
7,10255,RICSU,9,2014-07-12,2014-07-15,2014-08-09,3,148.33,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland
8,10256,WELLI,3,2014-07-15,2014-07-17,2014-08-12,2,13.97,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil
9,10257,HILAA,4,2014-07-16,2014-07-22,2014-08-13,3,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
10,10258,ERNSH,1,2014-07-17,2014-07-23,2014-08-14,1,140.51,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
11,10259,CENTC,4,2014-07-18,2014-07-25,2014-08-15,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,05022,Mexico
12,10260,OTTIK,4,2014-07-19,2014-07-29,2014-08-16,1,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany
13,10261,QUEDE,4,2014-07-19,2014-07-30,2014-08-16,2,3.05,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil
14,10262,RATTC,8,2014-07-22,2014-07-25,2014-08-19,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
15,10263,ERNSH,9,2014-07-23,2014-07-31,2014-08-20,3,146.06,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
16,10264,FOLKO,6,2014-07-24,2014-08-23,2014-08-21,3,3.67,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden
17,10265,BLONP,2,2014-07-25,2014-08-12,2014-08-22,1,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France
18,10266,WARTH,3,2014-07-26,2014-07-31,2014-09-06,3,25.73,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
19,10267,FRANK,4,2014-07-29,2014-08-06,2014-08-26,1,208.58,Frankenversand,Berliner Platz 43,München,,80805,Germany
20,10268,GROSR,8,2014-07-30,2014-08-02,2014-08-27,3,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela
21,10269,WHITC,5,2014-07-31,2014-08-09,2014-08-14,1,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
22,10270,WARTH,1,2014-08-01,2014-08-02,2014-08-29,1,136.54,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
23,10271,SPLIR,6,2014-08-01,2014-08-30,2014-08-29,2,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
24,10272,RATTC,6,2014-08-02,2014-08-06,2014-08-30,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
