Store,Address,City,State,Zip,Type
S0001,1000 W El Norte Pkwy,Escondido,CA,92027,Existing
S0002,12419 Woodside Ave,Lakeside,CA,92040,Existing
S0003,1342 N Alvarado St,Los Angeles,CA,90026,Existing
S0004,671 S Rancho Santa Fe Rd,San Marcos,CA,92078,Existing
S0005,1430 S Fairfax Ave,Los Angeles,CA,90019,Existing
S0006,9643 Mission Gorge Rd,Santee,CA,92071,Existing
S0007,820 Arneill Rd,Camarillo,CA,93010,Existing
S0008,3461 W 3rd St,Los Angeles,CA,90020,Existing
S0009,4033 W Avenue L,Lancaster,CA,93536,Existing
S0010,1040 Coast Village Rd,Montecito,CA,93108,Existing
S0011,3251 De Forest Cir Ste A,Mira Loma,CA,91752,Existing
S0012,1124 W Ocean Ave,Lompoc,CA,93436,Existing
S0013,3520 Riverside Plaza Dr,Riverside,CA,92506,Existing
S0014,3901 Portola Pkwy,Irvine,CA,92620,Existing
S0015,10675 Scripps Poway Pkwy,San Diego,CA,92131,Existing
S0016,1201 Avocado Ave,El Cajon,CA,92020,Existing
S0017,30252 Crown Valley Pkwy,Laguna Niguel,CA,92677,Existing
S0018,10001 Paramount Blvd,Downey,CA,90240,Existing
S0019,17390 Main St,Hesperia,CA,92345,Existing
S0020,850 Linden Ave,Carpinteria,CA,93013,Existing
S0021,1311 Wilshire Blvd,Santa Monica,CA,90403,Existing
S0022,13438 Poway Rd,Poway,CA,92064,Existing
S0023,5922 Edinger Ave,Huntington Beach,CA,92649,Existing
S0024,15740 La Forge St,Whittier,CA,90603,Existing
S0025,2684 N Tustin St,Orange,CA,92865,Existing
S0026,2039 Verdugo Blvd,Montrose,CA,91020,Existing
S0027,29211 Heathercliff Rd,Malibu,CA,90265,Existing
S0028,24160 Lyons Ave,Newhall,CA,91321,Existing
S0029,2058 W Avenue J,Lancaster,CA,93534,Existing
S0030,3125 W Florida Ave,Hemet,CA,92545,Existing
S0031,31564 Grape St,Lake Elsinore,CA,92532,Existing
S0032,16550 Soledad Canyon Rd,Santa Clarita,CA,91351,Existing
S0033,11322 Los Alamitos Blvd,Los Alamitos,CA,90720,Existing
S0034,1125 Maricopa Hwy,Ojai,CA,93023,Existing
S0035,81 W Foothill Blvd,Upland,CA,91786,Existing
S0036,33644 Yucaipa Blvd,Yucaipa,CA,92399,Existing
S0037,4627 Carmel Mountain Rd,San Diego,CA,92130,Existing
S0038,5805 E Los Angeles Ave,Simi Valley,CA,93063,Existing
S0039,1221 S Gaffey St,San Pedro,CA,90731,Existing
S0040,4550 Atlantic Ave,Long Beach,CA,90807,Existing
S0041,12801 Excelsior Dr,Santa Fe Springs,CA,90670,Existing
S0042,13439 Camino Canada,El Cajon,CA,92021,Existing
S0043,2048 E Avenida De Los Arboles,Thousand Oaks,CA,91360,Existing
S0044,7789 Foothill Blvd,Tujunga,CA,91042,Existing
S0045,6351 Haven Ave,Rancho Cucamonga,CA,91737,Existing
S0046,1820 Ximeno Ave,Long Beach,CA,90815,Existing
S0047,4200 Chino Hills Pkwy Ste 400,Chino Hills,CA,91709,Existing
S0048,845 College Blvd,Oceanside,CA,92057,Existing
S0049,550 E 1st St,Tustin,CA,92780,Existing
S0050,7 Peninsula Ctr,Rolling Hills Estates,CA,90274,Existing
S0051,26022 Marguerite Pkwy,Mission Viejo,CA,92692,Existing
S0052,635 Foothill Blvd,La Canada,CA,91011,Existing
S0053,750 N Imperial Ave,El Centro,CA,92243,Existing
S0054,2938 Tapo Canyon Rd,Simi Valley,CA,93063,Existing
S0055,330 W El Norte Pkwy,Escondido,CA,92026,Existing
S0056,32401 Camino Capistrano,San Juan Capistrano,CA,92675,Existing
S0057,500 E Manchester Blvd,Inglewood,CA,90301,Existing
S0058,1855 Cochran St,Simi Valley,CA,93065,Existing
S0059,950 N 2nd St,El Cajon,CA,92021,Existing
S0060,351 W Felicita Ave,Escondido,CA,92025,Existing
S0061,57590 29 Palms Hys,Yucca Valley,CA,92284,Existing
S0062,11800 De Palma Rd,Corona,CA,92883,Existing
S0063,4520 W Sunset Blvd,Los Angeles,CA,90028,Existing
S0064,9119 Reseda Blvd,Northridge,CA,91324,Existing
S0065,2340 Foothill Blvd,La Verne,CA,91750,Existing
S0066,522 Orange St,Redlands,CA,92374,Existing
S0067,660 E Los Angeles Ave,Simi Valley,CA,93065,Existing
S0068,1011 N San Fernando Blvd,Burbank,CA,91504,Existing
S0069,1440 W 25th St,San Pedro,CA,90732,Existing
S0070,4550 Atlantic Ave,Long Beach,CA,90807,Existing
S0071,1270 E Main St,Barstow,CA,92311,Existing
S0072,729 N H St,Lompoc,CA,93436,Existing
S0073,175 N Fairview Ave,Goleta,CA,93117,Existing
S0074,777 S Glendora Ave,West Covina,CA,91790,Existing
S0075,870 3rd Ave,Chula Vista,CA,91911,Existing
S0076,7311 N Figueroa St,Los Angeles,CA,90041,Existing
S0077,163 S Turnpike Rd,Goleta,CA,93111,Existing
S0078,3855 State St,Santa Barabra,CA,93105,Existing
S0079,3027 Rancho Vista Blvd,Palmdale,CA,93551,Existing
S0080,29530 Rancho California Rd,Temecula,CA,92591,Existing
S0081,24325 Crenshaw Blvd,Torrance,CA,90503,Existing
S0082,42170 Big Bear Blvd,Big Bear Lake,CA,92315,Existing
S0083,130 W Foothill Blvd,Monrovia,CA,91016,Existing
S0084,5500 Woodruff Ave,Lakewood,CA,90713,Existing
S0085,561 N Glendale Ave,Glendale,CA,91206,Existing
S0086,6825 Camino Arroyo,Gilroy,CA,95020,New
S0087,5353 Almaden Expy,San Jose,CA,95118,New
